
 num     #instances         #bytes  class name
 376:            99           2376  [Lorg.apache.spark.sql.streaming.SourceProgress;
 377:            99           2376  java.lang.invoke.LambdaForm$NamedFunction
 378:            74           2368  java.lang.invoke.DirectMethodHandle
 379:            37           2368  java.nio.DirectByteBuffer
 380:            72           2304  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 381:            48           2304  org.glassfish.jersey.server.model.Parameter
 382:            91           2264  [Ljava.util.regex.Pattern$Node;
 383:             2           2256  [Lorg.eclipse.jetty.http.HttpStatus$Code;
 384:            94           2256  java.beans.MethodRef
 385:            94           2256  java.net.InetSocketAddress$InetSocketAddressHolder
 386:            93           2232  java.util.regex.Pattern$SliceI
 387:            31           2232  org.eclipse.jetty.http.PathMap
 388:           109           2200  [Ljava.lang.annotation.Annotation;
 389:            91           2184  java.util.regex.Pattern$Ctype
 390:            91           2184  org.glassfish.hk2.utilities.reflection.internal.MethodWrapperImpl
 391:            90           2160  java.lang.RuntimePermission
 392:            90           2160  java.util.regex.Pattern$Dollar
 393:            67           2144  org.eclipse.jetty.util.ArrayTernaryTrie
 394:             1           2136  scala.reflect.internal.StdNames$nme$
 395:            88           2112  java.io.ObjectStreamClass$ClassDataSlot
 396:            88           2112  java.net.Inet4Address
 397:            66           2112  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 398:           131           2096  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 399:           131           2096  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 400:           131           2096  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 401:            52           2080  org.jvnet.hk2.internal.CacheKey
 402:            52           2080  org.jvnet.hk2.internal.ServiceLocatorImpl$IgdCacheKey
 403:             1           2048  [Lorg.eclipse.jetty.http.HttpGenerator$PreparedResponse;
 404:            64           2048  javax.management.MBeanAttributeInfo
 405:            64           2048  sun.reflect.generics.tree.MethodTypeSignature
 406:            85           2040  scala.reflect.internal.Types$PolyType
 407:            84           2016  org.glassfish.jersey.internal.util.collection.Values$LazyValueImpl
 408:            83           1992  java.util.regex.Pattern$CharProperty$1
 409:           124           1984  org.apache.spark.internal.config.TypedConfigBuilder$$anonfun$$lessinit$greater$1
 410:           124           1984  sun.reflect.BootstrapConstructorAccessorImpl
 411:            35           1960  org.glassfish.jersey.server.model.ResourceMethod$Data
 412:            61           1952  sun.nio.ch.AllocatedNativeObject
 413:            27           1944  org.apache.spark.sql.catalyst.expressions.objects.Invoke
 414:            80           1920  com.esotericsoftware.kryo.serializers.FieldSerializerGenericsUtil
 415:            80           1920  java.io.FilePermissionCollection
 416:            40           1920  scala.reflect.runtime.JavaMirrors$JavaMirror$JavaAnnotationProxy
 417:            39           1872  sun.util.locale.LocaleObjectCache$CacheEntry
 418:           116           1856  java.util.concurrent.atomic.AtomicBoolean
 419:            77           1848  org.glassfish.hk2.utilities.ContextualInput
 420:           112           1792  java.util.concurrent.atomic.AtomicReference
 421:            37           1776  java.util.Properties
 422:            72           1736  [Ljava.io.ObjectStreamClass$ClassDataSlot;
 423:            35           1680  org.glassfish.jersey.server.model.Invocable
 424:            70           1680  org.jvnet.hk2.internal.SoftAnnotatedElementAnnotationInfo
 425:            42           1680  sun.nio.ch.SelectionKeyImpl
 426:            52           1664  org.glassfish.hk2.utilities.general.internal.DoubleNode
 427:            52           1664  org.jvnet.hk2.internal.ServiceLocatorImpl$IgdValue
 428:            41           1640  sun.misc.Cleaner
 429:            51           1632  java.io.FileInputStream
 430:            68           1632  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 431:            51           1632  java.util.regex.Pattern$BnM
 432:            68           1632  org.apache.kafka.common.protocol.types.ArrayOf
 433:            68           1632  scala.reflect.runtime.JavaMirrors$JavaMirror$FromJavaClassCompleter$LazyPolyType
 434:            50           1600  java.lang.reflect.Proxy$Key1
 435:            50           1600  java.lang.reflect.WeakCache$CacheValue
 436:            50           1600  org.apache.spark.sql.types.StructField
 437:            50           1600  org.eclipse.jetty.http.HttpGenerator$CachedHttpField
 438:           100           1600  org.eclipse.jetty.util.IncludeExclude$SetContainsPredicate
 439:            50           1600  scala.xml.UnprefixedAttribute
 440:            40           1600  sun.nio.ch.SocketAdaptor
 441:            99           1584  [Lorg.apache.spark.sql.streaming.StateOperatorProgress;
 442:            66           1584  com.fasterxml.jackson.databind.PropertyName
 443:            22           1584  java.beans.PropertyDescriptor
 444:            22           1584  org.apache.spark.sql.catalyst.expressions.Alias
 445:            99           1584  org.apache.spark.sql.execution.streaming.ProgressReporter$$anonfun$7
 446:            99           1584  org.apache.spark.sql.streaming.SinkProgress
 447:            66           1584  sun.reflect.generics.tree.FormalTypeParameter
 448:            64           1560  [Lsun.reflect.generics.tree.TypeSignature;
 449:            39           1560  sun.reflect.generics.repository.MethodRepository
 450:            24           1536  com.fasterxml.jackson.databind.introspect.AnnotatedClass
 451:            32           1536  com.fasterxml.jackson.databind.type.SimpleType
 452:            48           1536  sun.reflect.annotation.AnnotationType
 453:             1           1528  scala.reflect.runtime.JavaUniverse
 454:            63           1512  java.util.jar.Attributes$Name
 455:            94           1504  java.net.InetSocketAddress
 456:            47           1504  org.eclipse.jetty.http.HttpStatus$Code
 457:            31           1488  org.apache.spark.sql.catalyst.expressions.Literal
